identifier,dataInsertedBy_identifier,description,title
30,Cameo Ingestion,Payload shall have a minimum use-able payload of x lbs,Maximum
45,Cameo Ingestion,Pilot shall set flaps of Aerodynamics to Enable when (mode of OPERATION is Takeoff) or (mode of OPERATION is Final Approach),FlightControls
45.12,Cameo Ingestion,,Slats
45.12.1,Cameo Ingestion,Pilot shall set slats of Aerodynamics to Enable when (mode of OPERATION is Takeoff or (mode of OPERATION is Final Approach),Slat1
45.12.2,Cameo Ingestion,Pilot shall set slats of Aerodynamics to Y degrees when mode of OPERATION is climb and altitude of aircraft > y,Slat2
45.12.3,Cameo Ingestion,Pilot shall set slats of Aerodynamics to Disable when mode of OPERATION is Climb and altitude of aircraft > z,Slat3
45.12.4,Cameo Ingestion,Pilot shall set slats of Aerodynamics to Q degrees when mode of OPERATION is After landing roll and speed of aircraft <q,Slat4
45.12.5,Cameo Ingestion,Pilot shall set slats of Aerodynamics to Disable when mode of OPERATION is After landing roll and speed of aircraft <r,Slat5
45.13,Cameo Ingestion,,Flaps
45.13.1,Cameo Ingestion,Flap angle shall not exceed 15 degrees when mode of OPERATION is Takeoff,Flap2
45.13.2,Cameo Ingestion,Pilot shall set flaps of Aerodynamics to X degrees when mode of OPERATION is climb and altitude of aircraft > x,Flap3
45.13.3,Cameo Ingestion,Pilot shall set flaps of Aerodynamics to Disable when mode of OPERATION is Climb and altitude of aircraft > z,Flap4
45.13.4,Cameo Ingestion,Flap angle shall not exceed 40 degrees when mode of OPERATION is Final Approach,Flap5
45.13.5,Cameo Ingestion,Pilot shall set flaps of Aerodynamics to P degrees when mode of OPERATION is After landing roll and speed of aircraft <p,Flap6
45.13.6,Cameo Ingestion,Pilot shall set flaps of Aerodynamics to Disable when mode of OPERATION is After landing roll and speed of aircraft <r,Flap7
BSR1,Cameo Ingestion,Battery energy density shall be 150 Wh/kg,Battery Energy Density
BSR2,Cameo Ingestion,Battery max C-rate shall be 10 1/hr,Battery max discharge rate
BSR3,Cameo Ingestion,battery specific energy shall be 250 Wh/kg,Battery specific energy
BSR4,Cameo Ingestion,Battery energy rating shall be at least 100 kW-hr,Energy Rating
BSR5,Cameo Ingestion,Charging rate shall be 0.5C,Charging rate
BSR6,Cameo Ingestion,Discharge rate shall be 10C,Discharge rate
BSR7,Cameo Ingestion,Max battery voltage shall be at most 600V,Max voltage
BSR8,Cameo Ingestion,Min battery voltage shall be no lower than 300V,Min voltage
DCACCR1,Cameo Ingestion,Input voltage shall be 1000 V DC,Input voltage
DCACCR2,Cameo Ingestion,Output voltage shall be 1000 v line-to-line AC,Output voltage
DCACCR3,Cameo Ingestion,Output power shall be 510 kW,Output power
DCACCR4,Cameo Ingestion,Efficiency shall be 98%,Efficiency
DCACCR5,Cameo Ingestion,Power density shall be 5 kW/kg,Power density
DCDCCR1,Cameo Ingestion,Low voltage rating shall be 300 V - 600 V,Low voltage rating
DCDCCR2,Cameo Ingestion,High voltage rating shall be 1000 V,High voltage rating
