identifier,title,description,reviews_identifier,wasGeneratedBy_identifier,reviewResult_identifier
RIndLog2,Requirements Independence Analysis Report,Pair-wise Requirements Dependency Analysis (PropulsionControlReqs) : All except for the ones in the DQ column in package PropulsionControlReqs,,,
RIndLog2,,,,RIndReview2,
RIndLog2,,,,,Revise With Review
RIndLog2,,,96,,
RIndLog2,,,94,,
RCompLog1,Requirements Completeness Analysis Report,Completeness Analysis Results (Control) : Incomplete Requirements,,,
RCompLog1,,,,RCompReview1,
RCompLog1,,,,,Revise With Review
RCompLog1,,,97,,
RCompLog1,,,98,,
RCompLog1,,,99,,
RCompLog1,,,100,,
RCompLog1,,,101,,
RCompLog1,,,102,,
RCompLog1,,,C1,,
RCompLog1,,,C2,,
RCompLog1,,,C3,,
RCompLog1,,,C6,,
RCompLog1,,,C7,,
RCompLog2,Requirements Completeness Analysis Report,Completeness Analysis Results (HLRs) : Incomplete Requirements,,,
RCompLog2,,,,RCompReview2,
RCompLog2,,,,,Revise With Review
RCompLog2,,,31,,
RCompLog2,,,32,,
RCompLog2,,,33,,
RCompLog2,,,34,,
RCompLog3,Requirements Completeness Analysis Report,Completeness Analysis Results (PropulsionControlReqs) : Incomplete Requirements,,,
RCompLog3,,,,RCompReview3,
RCompLog3,,,,,Revise With Review
RCompLog3,,,84,,
RCompLog3,,,86,,
RCompLog3,,,87,,
RCompLog3,,,88,,
RCompLog3,,,89,,
RCompLog3,,,90,,
RCompLog3,,,91,,
RCompLog3,,,92,,
RCompLog3,,,93,,
RCompLog3,,,94,,
RCompLog3,,,95,,
RCompLog3,,,96,,
RCompLog4,Requirements Completeness Analysis Report,Completeness Analysis Results (CockpitControl) : Incomplete Requirements,,,
RCompLog4,,,,RCompReview4,
RCompLog4,,,,,Revise With Review
RCompLog4,,,CCC3,,
RCompLog4,,,CCC5,,
RCompLog4,,,CCC14,,
RCompLog4,,,CCC12,,
RCompLog4,,,CCC13,,
RCompLog4,,,CCC10,,
RCompLog6,Requirements Completeness Analysis Report,Completeness Analysis Results (DCACCtrReqs) : Complete Requirements,,,
RCompLog6,,,,RCompReview6,
RCompLog6,,,,,Passed
RCompLog6,,,DCACCtrR1,,
RCompLog6,,,DCACCtrR2,,
RCompLog6,,,DCACCtrR3,,
RCompLog6,,,DCACCtrR4,,
RCompLog6,,,DCACCtrR5,,
RCompLog6,,,DCACCtrR6,,
RCompLog6,,,DCACCtrR7,,
RCompLog6,,,DCACCtrR8,,
RCompLog7,Requirements Completeness Analysis Report,Completeness Analysis Results (AutomatedControl) : Complete Requirements,,,
RCompLog7,,,,RCompReview7,
RCompLog7,,,,,Passed
RCompLog7,,,CAC3,,
RCompLog7,,,CAC4,,
RCompLog7,,,CAC5,,
RCompLog8,Requirements Completeness Analysis Report,Completeness Analysis Results (DCDCCtrReqs) : Complete Requirements,,,
RCompLog8,,,,RCompReview8,
RCompLog8,,,,,Passed
RCompLog8,,,DCDCCtrR1,,
RCompLog8,,,DCDCCtrR2,,
RCompLog8,,,DCDCCtrR3,,
RCompLog8,,,DCDCCtrR4,,
RCompLog8,,,DCDCCtrR5,,
RCompLog8,,,DCDCCtrR6,,
RCompLog8,,,DCDCCtrR7,,
RCompLog8,,,DCDCCtrR8,,
RCompLog9,Requirements Completeness Analysis Report,Completeness Analysis Results (Aircraft) : Complete Requirements,,,
RCompLog9,,,,RCompReview9,
RCompLog9,,,,,Passed
RCompLog9,,,CAC1,,
RCompLog9,,,CAC2,,
RGContLog1,Requirements Global Contingency Analysis Report,Globally Unsatisfiable Requirements Package (HLRs),,,
RGContLog1,,,,RGContReview1,
RGContLog1,,,,,Revise With Review
RGContLog1,,,31,,
RGContLog1,,,32,,
RGContLog1,,,33,,
RGContLog1,,,34,,
RContLog1,Requirements Contingency Analysis Report,Contingent (DCACCtrReqs) : Contingent Requirements,,,
RContLog1,,,,RContReview1,
RContLog1,,,,,Passed
RContLog1,,,DCACCtrR1,,
RContLog1,,,DCACCtrR2,,
RContLog1,,,DCACCtrR3,,
RContLog1,,,DCACCtrR4,,
RContLog1,,,DCACCtrR5,,
RContLog1,,,DCACCtrR6,,
RContLog1,,,DCACCtrR7,,
RContLog1,,,DCACCtrR8,,
RContLog2,Requirements Contingency Analysis Report,Contingent (Control) : Contingent Requirements,,,
RContLog2,,,,RContReview2,
RContLog2,,,,,Passed
RContLog2,,,97,,
RContLog2,,,98,,
RContLog2,,,99,,
RContLog2,,,100,,
RContLog2,,,101,,
RContLog2,,,102,,
RContLog2,,,C1,,
