identifier,satisfies_identifier,description
SubDD_REQ_1,SRS_REQ_145,Default_Description
SubDD_REQ_2,,Default_Description
SubDD_REQ_3,,Default_Description
SubDD_REQ_4,SRS_REQ_186,Default_Description
SubDD_REQ_5,SRS_REQ_26,Default_Description
SubDD_REQ_6,SRS_REQ_145,Default_Description
SubDD_REQ_7,,Default_Description
SubDD_REQ_8,SRS_REQ_17,Default_Description
SubDD_REQ_9,,Default_Description
SubDD_REQ_10,SRS_REQ_6,Default_Description
SubDD_REQ_11,SRS_REQ_74,Default_Description
SubDD_REQ_12,SRS_REQ_170,Default_Description
SubDD_REQ_13,,Default_Description
SubDD_REQ_14,,Default_Description
SubDD_REQ_15,SRS_REQ_12,Default_Description
SubDD_REQ_16,SRS_REQ_199,Default_Description
SubDD_REQ_17,SRS_REQ_128,Default_Description
SubDD_REQ_18,SRS_REQ_159,Default_Description
SubDD_REQ_19,,Default_Description
SubDD_REQ_20,SRS_REQ_145,Default_Description
SubDD_REQ_21,,Default_Description
SubDD_REQ_22,SRS_REQ_6,Default_Description
SubDD_REQ_23,,Default_Description
SubDD_REQ_24,SRS_REQ_67,Default_Description
SubDD_REQ_25,SRS_REQ_114,Default_Description
SubDD_REQ_26,,Default_Description
SubDD_REQ_27,SRS_REQ_178,Default_Description
SubDD_REQ_28,SRS_REQ_51,Default_Description
SubDD_REQ_29,,Default_Description
SubDD_REQ_30,SRS_REQ_85,Default_Description
SubDD_REQ_31,,Default_Description
SubDD_REQ_32,,Default_Description
SubDD_REQ_33,,Default_Description
SubDD_REQ_34,SRS_REQ_58,Default_Description
SubDD_REQ_35,SRS_REQ_133,Default_Description
SubDD_REQ_36,SRS_REQ_109,Default_Description
SubDD_REQ_37,,Default_Description
SubDD_REQ_38,,Default_Description
SubDD_REQ_39,SRS_REQ_27,Default_Description
SubDD_REQ_40,SRS_REQ_155,Default_Description
SubDD_REQ_41,,Default_Description
SubDD_REQ_42,,Default_Description
SubDD_REQ_43,SRS_REQ_65,Default_Description
SubDD_REQ_44,,Default_Description
SubDD_REQ_45,SRS_REQ_113,Default_Description
SubDD_REQ_46,,Default_Description
SubDD_REQ_47,,Default_Description
SubDD_REQ_48,,Default_Description
SubDD_REQ_49,SRS_REQ_159,Default_Description
SubDD_REQ_50,,Default_Description
SubDD_REQ_51,,Default_Description
SubDD_REQ_52,SRS_REQ_4,Default_Description
SubDD_REQ_53,SRS_REQ_176,Default_Description
SubDD_REQ_54,,Default_Description
SubDD_REQ_55,,Default_Description
